user_id,user_name,subscription_type,monthly_revenue,join_date,last_payment,country,age,gender,device,plan_duration
25,Eric Lurio,Basic,10.0,14-03-23,28-06-23,Germany,40.0,Female,Laptop,1 Month
26,Dustin Putman,Premium,15.0,12-01-22,27-06-23,France,29.0,Male,Smartphone,1 Month
27,Kevin A. Ranson,Basic,10.0,29-08-22,25-06-23,Brazil,47.0,Female,Smart TV,1 Month
28,The Foywonder,Standard,12.0,27-09-21,24-06-23,Mexico,33.0,Male,Tablet,1 Month
29,Nell Minow,Premium,15.0,19-12-22,23-06-23,Spain,36.0,Female,Laptop,1 Month
30,Scott Nash,Basic,10.0,17-05-23,22-06-23,Italy,42.0,Male,Smartphone,1 Month
31,E! Staff,Premium,15.0,03-02-23,22-06-23,United States,28.0,Female,Smart TV,1 Month
32,Gene Seymour,Basic,10.0,07-07-22,28-06-23,Canada,37.0,Male,Tablet,1 Month
33,Lou Lumenick,Standard,12.0,21-01-22,27-06-23,United Kingdom,41.0,Female,Laptop,1 Month
34,Jeannette Catsoulis,Standard,12.0,25-05-22,26-06-23,Australia,29.0,Male,Smartphone,1 Month
35,Jonathan Perry,Basic,10.0,11-04-23,28-06-23,Germany,39.0,Female,Smart TV,1 Month
36,James Berardinelli,Premium,15.0,01-03-22,27-06-23,France,35.0,Male,Tablet,1 Month
37,Timothy Knight,Basic,10.0,14-09-22,25-06-23,Brazil,45.0,Female,Laptop,1 Month
38,Peter Hartlaub,Standard,12.0,05-11-21,24-06-23,Mexico,32.0,Male,Smartphone,1 Month
39,Roger Moore,Premium,15.0,28-12-22,23-06-23,Spain,27.0,Female,Smart TV,1 Month
40,Lisa Rose,Basic,10.0,07-03-23,22-06-23,Italy,48.0,Male,Tablet,1 Month
41,Liz Braun,Premium,15.0,20-01-23,22-06-23,United States,31.0,Female,Laptop,1 Month
42,Chuck Wilson,Basic,10.0,15-06-22,28-06-23,Canada,40.0,Male,Smartphone,1 Month
43,Todd Gilchrist,Standard,12.0,07-02-22,27-06-23,United Kingdom,36.0,Female,Smart TV,1 Month
44,Jackie K. Cooper,Standard,12.0,26-04-22,26-06-23,Australia,29.0,Male,Tablet,1 Month
45,Anderson Jones,Basic,10.0,28-01-23,28-06-23,Germany,43.0,Female,Laptop,1 Month
46,Tasha Robinson,Premium,15.0,23-02-22,27-06-23,France,34.0,Male,Smartphone,1 Month
47,Scott Brown,Basic,10.0,05-10-22,25-06-23,Brazil,39.0,Female,Smart TV,1 Month
48,Linda Cook,Standard,12.0,15-09-21,24-06-23,Mexico,32.0,Male,Tablet,1 Month
49,Ken Hanke,Premium,15.0,10-11-22,23-06-23,Spain,28.0,Female,Laptop,1 Month
50,Jeffrey M. Anderson,Basic,10.0,02-06-23,22-06-23,Italy,45.0,Male,Smartphone,1 Month
51,Peter Canavese,Premium,15.0,27-02-23,22-06-23,United States,30.0,Female,Smart TV,1 Month
52,John Beifuss,Basic,10.0,29-08-22,28-06-23,Canada,37.0,Male,Tablet,1 Month
53,Luke Y. Thompson,Standard,12.0,13-01-22,27-06-23,United Kingdom,41.0,Female,Laptop,1 Month
54,Kimberley Jones,Standard,12.0,30-06-22,26-06-23,Australia,29.0,Male,Smartphone,1 Month
55,JoBlo,Basic,10.0,20-04-23,28-06-23,Germany,39.0,Female,Smart TV,1 Month
56,Jessica Letkemann,Premium,15.0,15-03-22,27-06-23,France,36.0,Male,Tablet,1 Month
57,,Basic,10.0,01-10-22,25-06-23,Brazil,46.0,Female,Laptop,1 Month
58,David N. Butterworth,Standard,12.0,08-10-21,24-06-23,Mexico,34.0,Male,Smartphone,1 Month
59,Philip Wuntch,Premium,15.0,03-12-22,23-06-23,Spain,27.0,Female,Smart TV,1 Month
60,Shlomo Schwartzberg,Basic,10.0,14-06-23,22-06-23,Italy,42.0,Male,Tablet,1 Month
61,Stina Chyn,Premium,15.0,08-02-23,22-06-23,United States,28.0,Female,Laptop,1 Month
62,Pablo Villaça,Basic,10.0,03-08-22,28-06-23,Canada,37.0,Male,Smartphone,1 Month
63,Rob Gonsalves,Standard,12.0,23-02-22,27-06-23,United Kingdom,41.0,Female,Smart TV,1 Month
64,Jim Lane,Standard,12.0,20-06-22,26-06-23,Australia,29.0,Male,Tablet,1 Month
65,Paul Arendt,Basic,10.0,29-03-23,28-06-23,Germany,40.0,Female,Laptop,1 Month
66,James O'Ehley,Premium,15.0,30-01-22,27-06-23,France,29.0,Male,Smartphone,1 Month
67,Peter Bradshaw,Basic,10.0,18-09-22,25-06-23,Brazil,47.0,Female,Smart TV,1 Month
68,Nigel Floyd,Standard,12.0,09-11-21,24-06-23,Mexico,33.0,Male,Tablet,1 Month
69,David Edwards,Premium,15.0,23-12-22,23-06-23,Spain,36.0,Female,Laptop,1 Month
70,Matthew Turner,Basic,10.0,08-05-23,22-06-23,Italy,41.0,Male,Smartphone,1 Month
71,James Dyer,Basic,10.0,26-01-22,20-06-23,United States,27.0,Male,Smartphone,1 Month
72,Ethan Alter,Basic,10.0,11-10-22,22-06-23,Canada,31.0,Female,Smartphone,1 Month
73,J. R. Jones,Standard,12.0,27-09-22,26-06-23,United Kingdom,28.0,Female,Laptop,1 Month
74,Anton Bitel,Premium,13.0,14-12-22,25-06-23,Australia,41.0,Female,Smartphone,1 Month
75,Joe Lozito,Basic,13.0,28-05-22,26-06-23,Germany,28.0,Female,Laptop,1 Month
76,Brian Marder,Basic,13.0,29-12-21,26-06-23,France,51.0,Female,Laptop,1 Month
77,Felix Vasquez Jr.,Premium,15.0,25-12-22,23-06-23,Brazil,45.0,Female,Smartphone,1 Month
78,Rob Nelson,Standard,15.0,18-11-22,28-06-23,Mexico,49.0,Male,Tablet,1 Month
79,David Nusair,Standard,15.0,03-12-22,25-06-23,Spain,43.0,Female,Laptop,1 Month
80,Adam Lippe,Basic,12.0,08-11-22,22-06-23,Italy,43.0,Male,Tablet,1 Month
81,Daniel Barnes,Premium,10.0,11-01-23,24-06-23,United States,37.0,Male,Tablet,1 Month
82,Alberto Abuín,Standard,12.0,07-12-22,28-06-23,Canada,35.0,Male,Laptop,1 Month
83,Norm Schrager,Basic,10.0,20-10-22,26-06-23,United Kingdom,46.0,Female,Smartphone,1 Month
84,Deborah Young,Standard,12.0,13-04-23,25-06-23,Australia,32.0,Male,Smartphone,1 Month
85,Marc Mohan,Premium,10.0,06-04-23,27-06-23,Germany,37.0,Female,Laptop,1 Month
86,Joshua Land,Basic,11.0,04-03-22,25-06-23,France,29.0,Female,Smartphone,1 Month
87,Ken Fox,Premium,15.0,28-12-21,23-06-23,Brazil,45.0,Male,Smart TV,1 Month
88,V.A. Musetto,Standard,12.0,27-09-22,28-06-23,Mexico,47.0,Male,Tablet,1 Month
89,Elizabeth Weitzman,Basic,15.0,20-10-22,26-06-23,Spain,39.0,Male,Smartphone,1 Month
90,Boyd van Hoeij,Standard,13.0,03-02-23,23-06-23,Italy,49.0,Female,Smartphone,1 Month
91,Eddie Cockrell,Premium,11.0,03-10-22,23-06-23,United States,39.0,Male,Tablet,1 Month
92,Kirk Honeycutt,Basic,14.0,05-01-22,28-06-23,Canada,39.0,Male,Smart TV,1 Month
93,Adam Nayman,Standard,12.0,05-02-22,26-06-23,United Kingdom,35.0,Male,Smartphone,1 Month
94,Ed Gonzalez,Premium,12.0,19-03-22,25-06-23,Australia,44.0,Male,Smartphone,1 Month
95,Jim Ridley,Basic,11.0,28-02-22,25-06-23,Germany,34.0,Male,Laptop,1 Month
96,Rich Cline,Premium,14.0,26-07-22,24-06-23,France,32.0,Male,Laptop,1 Month
97,Scott Tobias,Basic,10.0,05-03-22,24-06-23,Brazil,29.0,Female,Tablet,1 Month
98,Owen Gleiberman,Standard,13.0,07-03-22,28-06-23,Mexico,31.0,Female,Tablet,1 Month
99,Kevin Thomas,Standard,12.0,13-01-23,24-06-23,Spain,29.0,Female,Tablet,1 Month
100,Glenn Whipp,Basic,12.0,22-01-23,25-06-23,Italy,35.0,Male,Laptop,1 Month
101,Martin Rubin,Premium,11.0,17-10-22,24-06-23,United States,46.0,Female,Tablet,1 Month
102,Michael Phillips,Basic,12.0,29-03-22,28-06-23,Canada,31.0,Male,Tablet,1 Month
103,Bill Stamets,Standard,13.0,04-04-22,26-06-23,United Kingdom,36.0,Male,Laptop,1 Month
104,Philip French,Premium,10.0,08-06-22,25-06-23,Australia,38.0,Male,Laptop,1 Month
105,David Mattin,Basic,11.0,04-03-22,27-06-23,Germany,46.0,Female,Laptop,1 Month
106,Wesley Morris,Premium,10.0,18-03-22,24-06-23,France,49.0,Female,Tablet,1 Month
107,Robin Clifford,Basic,14.0,07-03-22,24-06-23,Brazil,29.0,Female,Smart TV,1 Month
108,Ed Scheid,Standard,12.0,24-05-22,25-06-23,Mexico,27.0,Female,Smart TV,1 Month
109,Helen O'Hara,Standard,13.0,08-02-23,25-06-23,Spain,35.0,Female,Tablet,1 Month
110,Doris Toumarkine,Basic,13.0,26-01-23,24-06-23,Italy,37.0,Female,Laptop,1 Month
111,Kam Williams,Premium,14.0,14-07-22,27-06-23,United States,40.0,Male,Tablet,1 Month
112,Christopher Null,Basic,10.0,01-06-22,28-06-23,Canada,33.0,Female,Laptop,1 Month
113,Ryan Pollard,Standard,15.0,07-05-22,26-06-23,United Kingdom,37.0,Male,Tablet,1 Month
114,Megan Lehmann,Premium,10.0,18-11-22,25-06-23,Australia,48.0,Male,Smartphone,1 Month
115,Jon Popick,Basic,11.0,05-04-22,25-06-23,Germany,50.0,Female,Laptop,1 Month
116,Leslie Felperin,Premium,14.0,19-05-22,23-06-23,France,45.0,Female,Smart TV,1 Month
117,Robin Oliver,Basic,15.0,30-10-21,23-06-23,Brazil,40.0,Female,Tablet,1 Month
118,Andrew Pulver,Standard,12.0,07-08-22,27-06-23,Mexico,33.0,Male,Smartphone,1 Month
119,Nick Funnell,Standard,11.0,20-09-22,25-06-23,Spain,44.0,Female,Smartphone,1 Month
120,Anna Smith,Basic,10.0,18-10-22,25-06-23,Italy,30.0,Female,Smart TV,1 Month
121,Jamie Russell,Premium,15.0,03-10-22,24-06-23,United States,27.0,Male,Smart TV,1 Month
122,Anthony Lane,Basic,11.0,03-05-22,28-06-23,Canada,51.0,Male,Smart TV,1 Month
123,Julia Wallace,Standard,13.0,25-05-22,26-06-23,United Kingdom,49.0,Female,Smartphone,1 Month
124,Scott Foundas,Premium,15.0,05-11-22,25-06-23,Australia,43.0,Male,Laptop,1 Month
125,Kent Turner,Basic,12.0,21-08-22,24-06-23,Germany,42.0,Male,Smartphone,1 Month
126,Bruce Feld,Premium,13.0,21-09-22,23-06-23,France,45.0,Male,Laptop,1 Month
127,Pam Grady,Basic,10.0,23-11-21,23-06-23,Brazil,36.0,Male,Smartphone,1 Month
128,Joe Morgenstern,Standard,12.0,06-10-22,27-06-23,Mexico,48.0,Male,Smartphone,1 Month
129,Rachel Saltz,Standard,13.0,05-11-22,23-06-23,Spain,38.0,Male,Smart TV,1 Month
130,Steven Rea,Basic,14.0,07-01-23,23-06-23,Italy,43.0,Female,Tablet,1 Month
131,Michael Esposito,Premium,15.0,06-10-22,23-06-23,United States,47.0,Male,Laptop,1 Month
132,G. Allen Johnson,Basic,15.0,24-06-22,28-06-23,Canada,48.0,Female,Smart TV,1 Month
133,Joshua Katzman,Standard,13.0,24-06-22,26-06-23,United Kingdom,47.0,Male,Smart TV,1 Month
134,Mark Feeney,Premium,15.0,05-11-22,25-06-23,Australia,32.0,Male,Tablet,1 Month
135,Brian Tallerico,Basic,13.0,18-07-22,26-06-23,Germany,47.0,Female,Smart TV,1 Month
136,Jean Lowerison,Premium,12.0,13-09-22,26-06-23,France,41.0,Female,Smart TV,1 Month
137,Tony Medley,Basic,12.0,10-08-22,22-06-23,Brazil,49.0,Male,Laptop,1 Month
138,Jeanne Aufmuth,Standard,15.0,21-09-22,23-06-23,Mexico,28.0,Male,Laptop,1 Month
139,Beth Accomando,Standard,13.0,24-03-23,23-06-23,Spain,40.0,Male,Smartphone,1 Month
140,Bruce Westbrook,Basic,12.0,02-05-22,23-06-23,Italy,43.0,Female,Smartphone,1 Month
141,Bill White,Premium,12.0,11-05-22,27-06-23,United States,42.0,Male,Smartphone,1 Month
142,Moira MacDonald,Basic,14.0,10-06-22,22-06-23,Canada,28.0,Male,Smart TV,1 Month
143,Michael Sragow,Standard,14.0,31-08-22,24-06-23,United Kingdom,30.0,Female,Tablet,1 Month
144,Urban Cinefile Critics,Premium,10.0,17-08-22,26-06-23,Australia,33.0,Male,Smart TV,1 Month
145,Jeff Vice,Basic,11.0,05-05-22,26-06-23,Germany,35.0,Female,Laptop,1 Month
146,Sean P. Means,Basic,10.0,06-10-22,25-06-23,France,38.0,Male,Tablet,1 Month
147,Jason Ferguson,Basic,12.0,08-11-22,24-06-23,Brazil,49.0,Female,Laptop,1 Month
148,Toddy Burton,Standard,15.0,27-11-22,28-06-23,Mexico,39.0,Female,Smartphone,1 Month
149,Desson Thomson,Premium,13.0,17-11-22,27-06-23,Spain,46.0,Female,Smart TV,1 Month
150,Josh Bell,Basic,10.0,15-12-22,23-06-23,Italy,47.0,Female,Laptop,1 Month
151,Peter Calder,Basic,15.0,12-12-22,25-06-23,United States,30.0,Female,Laptop,1 Month
152,Jason Anderson,Premium,14.0,23-11-22,27-06-23,Canada,33.0,Female,Tablet,1 Month
153,Joshua Rothkopf,Standard,11.0,25-12-22,24-06-23,United Kingdom,47.0,Male,Smartphone,1 Month
154,Austin Kennedy,Standard,11.0,11-03-23,27-06-23,Australia,27.0,Male,Laptop,1 Month
155,Blake French,Basic,14.0,18-11-22,27-06-23,Germany,28.0,Male,Tablet,1 Month
156,Victor Olliver,Premium,15.0,19-08-22,25-06-23,France,47.0,Male,Smartphone,1 Month
157,Coco Forsythe,Standard,14.0,27-09-22,24-06-23,Brazil,30.0,Male,Laptop,1 Month
158,Derek Malcolm,Basic,13.0,19-10-22,28-06-23,Mexico,47.0,Female,Smartphone,1 Month
159,Anthony Quinn,Standard,10.0,21-12-22,26-06-23,Spain,51.0,Female,Smart TV,1 Month
160,Martin Hoyle,Premium,15.0,27-10-22,25-06-23,Italy,39.0,Male,Smartphone,1 Month
161,Matthew Leyland,Basic,10.0,23-10-22,24-06-23,United States,45.0,Male,Tablet,1 Month
162,Elliott Noble,Premium,15.0,19-04-22,25-06-23,Canada,31.0,Male,Laptop,1 Month
163,David Gritten,Standard,11.0,05-04-22,26-06-23,United Kingdom,29.0,Male,Laptop,1 Month
164,Wendy Ide,Basic,11.0,11-03-22,26-06-23,Australia,42.0,Female,Tablet,1 Month
165,James Mottram,Standard,14.0,25-05-22,25-06-23,Germany,49.0,Male,Tablet,1 Month
166,Dave Calhoun,Premium,13.0,16-04-22,26-06-23,France,42.0,Male,Laptop,1 Month
167,Louise Keller,Basic,13.0,07-04-22,24-06-23,Brazil,29.0,Male,Smartphone,1 Month
168,Jake Wilson,Standard,10.0,11-12-22,28-06-23,Mexico,29.0,Male,Tablet,1 Month
169,Fionnuala Halligan,Premium,12.0,20-01-23,26-06-23,Spain,49.0,Male,Tablet,1 Month
170,Kaleem Aftab,Basic,14.0,12-01-23,25-06-23,Italy,32.0,Male,Laptop,1 Month
171,John Anderson,Premium,11.0,29-04-22,24-06-23,United States,35.0,Female,Tablet,1 Month
172,Prairie Miller,Basic,12.0,27-04-22,26-06-23,Canada,39.0,Female,Smartphone,1 Month
173,Aaron Hillis,Standard,15.0,03-06-22,25-06-23,United Kingdom,40.0,Male,Smartphone,1 Month
174,Sid Smith,Standard,14.0,23-04-22,25-06-23,Australia,39.0,Female,Tablet,1 Month
175,Matt Pais,Basic,10.0,22-04-22,26-06-23,Germany,47.0,Female,Laptop,1 Month
176,Stephen Whitty,Premium,13.0,12-04-22,25-06-23,France,37.0,Female,Smart TV,1 Month
177,Roger Ebert,Basic,15.0,23-05-22,26-06-23,Brazil,27.0,Female,Smartphone,1 Month
178,Stephen Holden,Standard,13.0,19-10-22,26-06-23,Mexico,49.0,Female,Laptop,1 Month
179,Frank Lovece,Premium,10.0,03-12-22,26-06-23,Spain,30.0,Female,Tablet,1 Month
180,Richard Nilsen,Basic,14.0,26-09-22,25-06-23,Italy,36.0,Male,Laptop,1 Month
181,Rex Reed,Premium,15.0,16-06-22,27-06-23,United States,33.0,Male,Smartphone,1 Month
182,Chad Greene,Basic,13.0,16-05-22,25-06-23,Canada,30.0,Female,Laptop,1 Month
183,Rick Groen,Standard,15.0,26-05-22,26-06-23,United Kingdom,36.0,Female,Tablet,1 Month
184,Chris Alexander,Standard,13.0,26-04-22,25-06-23,Australia,28.0,Female,Laptop,1 Month
185,Bruce Kirkland,Basic,11.0,12-05-22,25-06-23,Germany,47.0,Female,Tablet,1 Month
186,John Griffin,Premium,12.0,01-03-22,25-06-23,France,33.0,Female,Smart TV,1 Month
187,Stephen Garrett,Basic,13.0,10-07-22,24-06-23,Brazil,49.0,Female,Laptop,1 Month
188,Hank Sartin,Standard,15.0,16-07-22,27-06-23,Mexico,44.0,Female,Smart TV,1 Month
189,Matt Zoller Seitz,Premium,13.0,02-09-22,26-06-23,Spain,47.0,Male,Smart TV,1 Month
190,Kyle Smith,Basic,11.0,18-09-22,26-06-23,Italy,37.0,Female,Tablet,1 Month
191,Jay Antani,Premium,10.0,08-07-22,25-06-23,United States,46.0,Male,Laptop,1 Month
192,Michael Rechtshaffen,Basic,14.0,26-06-22,27-06-23,Canada,50.0,Female,Smartphone,1 Month
193,Rob Humanick,Standard,11.0,05-08-22,25-06-23,United Kingdom,50.0,Male,Laptop,1 Month
194,Eric Monder,Standard,14.0,19-08-22,27-06-23,Australia,37.0,Male,Laptop,1 Month
195,Ross Anthony,Basic,11.0,26-08-22,24-06-23,Germany,50.0,Female,Smartphone,1 Month
196,Ron Wilkinson,Premium,13.0,09-06-22,24-06-23,France,45.0,Female,Smart TV,1 Month
197,Frederic and Mary Ann Brussat,Basic,14.0,27-09-22,23-06-23,Brazil,45.0,Male,Tablet,1 Month
198,Marjorie Baumgarten,Standard,10.0,18-10-22,27-06-23,Mexico,49.0,Female,Laptop,1 Month
199,Richard Propes,Premium,14.0,31-10-22,25-06-23,Spain,39.0,Female,Tablet,1 Month
200,Patrick Kolan,Basic,11.0,13-10-22,25-06-23,Italy,45.0,Female,Tablet,1 Month
201,Anders Wotzke,Premium,11.0,04-07-22,27-06-23,United States,49.0,Female,Smart TV,1 Month
202,Julian Shaw,Basic,12.0,26-06-22,27-06-23,Canada,31.0,Female,Tablet,1 Month
203,Luke Goodsell,Standard,13.0,31-07-22,24-06-23,United Kingdom,42.0,Female,Smart TV,1 Month
204,Jim Schembri,Standard,12.0,27-07-22,24-06-23,Australia,37.0,Male,Smartphone,1 Month
205,Des Partridge,Basic,12.0,30-07-22,25-06-23,Germany,30.0,Male,Smart TV,1 Month
206,David Stratton,Premium,11.0,06-08-22,25-06-23,France,40.0,Male,Smartphone,1 Month
207,Vicky Roach,Basic,15.0,16-09-22,24-06-23,Brazil,45.0,Female,Smartphone,1 Month
208,Leigh Paatsch,Standard,15.0,05-01-23,23-06-23,Mexico,36.0,Female,Tablet,1 Month
209,Jordan Mintzer,Premium,11.0,10-12-22,24-06-23,Spain,41.0,Male,Laptop,1 Month
210,Giles Hardie,Basic,14.0,22-11-22,26-06-23,Italy,49.0,Female,Laptop,1 Month
211,Ben McEachen,Premium,15.0,15-11-22,27-06-23,United States,40.0,Male,Tablet,1 Month
212,David Germain,Basic,11.0,28-10-22,26-06-23,Canada,36.0,Male,Smart TV,1 Month
213,Matthew Sorrento,Standard,12.0,08-09-22,24-06-23,United Kingdom,49.0,Female,Smart TV,1 Month
214,Geoff Berkshire,Standard,13.0,30-06-22,28-06-23,Australia,43.0,Female,Laptop,1 Month
215,Mark Dujsik,Basic,13.0,02-09-22,27-06-23,Germany,50.0,Female,Smartphone,1 Month
216,Chris Hewitt,Premium,14.0,08-10-22,24-06-23,France,51.0,Female,Smart TV,1 Month
217,Drew McWeeny,Basic,15.0,13-11-22,25-06-23,Brazil,44.0,Male,Smart TV,1 Month
218,Matt Stevens,Standard,12.0,15-11-22,28-06-23,Mexico,27.0,Male,Tablet,1 Month
219,Rene Rodriguez,Premium,12.0,16-11-22,25-06-23,Spain,46.0,Female,Smartphone,1 Month
220,Peter Travers,Basic,12.0,26-11-22,27-06-23,Italy,29.0,Male,Tablet,1 Month
221,Stephanie Zacharek,Basic,12.0,26-11-22,25-06-23,United States,47.0,Male,Smartphone,1 Month
222,Betsy Sharkey,Basic,10.0,12-12-22,26-06-23,Canada,48.0,Female,Smartphone,1 Month
223,Brad Miska,Standard,12.0,08-01-23,25-06-23,United Kingdom,34.0,Female,Smartphone,1 Month
224,James Rocchi,Premium,15.0,27-11-22,29-06-23,Australia,40.0,Female,Smartphone,1 Month
225,John P. McCarthy,Basic,14.0,11-10-22,27-06-23,Germany,48.0,Female,Smartphone,1 Month
226,John Hazelton,Basic,10.0,27-09-22,26-06-23,France,35.0,Male,Smartphone,1 Month
227,Chris Cabin,Premium,12.0,30-09-22,24-06-23,Brazil,51.0,Female,Smartphone,1 Month
228,Josh Larsen,Standard,10.0,04-11-22,27-06-23,Mexico,39.0,Male,Smart TV,1 Month
229,Kurt Loder,Standard,13.0,04-11-22,27-06-23,Spain,29.0,Male,Smartphone,1 Month
230,Vic Holtreman,Basic,12.0,30-10-22,26-06-23,Italy,51.0,Male,Laptop,1 Month
231,Daniel M. Kimmel,Premium,11.0,29-10-22,24-06-23,United States,43.0,Male,Smartphone,1 Month
232,Jordan Hoffman,Standard,11.0,30-08-22,27-06-23,Canada,28.0,Male,Smartphone,1 Month
233,Jim Judy,Basic,15.0,07-07-22,26-06-23,United Kingdom,50.0,Female,Smart TV,1 Month
234,Manohla Dargis,Standard,14.0,26-05-22,27-06-23,Australia,44.0,Female,Laptop,1 Month
235,Brett McCracken,Premium,11.0,17-05-22,25-06-23,Germany,50.0,Male,Laptop,1 Month
236,Willie Waffle,Basic,11.0,08-05-22,26-06-23,France,39.0,Female,Smartphone,1 Month
237,Kevin McCarthy,Premium,13.0,07-07-22,25-06-23,Brazil,46.0,Female,Tablet,1 Month
238,Brandon Fibbs,Standard,15.0,17-07-22,28-06-23,Mexico,48.0,Male,Smartphone,1 Month
239,Marshall Fine,Basic,15.0,23-12-22,26-06-23,Spain,38.0,Male,Smart TV,1 Month
240,Peter Sobczynski,Standard,13.0,27-06-22,26-06-23,Italy,38.0,Male,Smartphone,1 Month
241,Eugene Novikov,Premium,13.0,31-05-22,27-06-23,United States,47.0,Male,Laptop,1 Month
242,"Steve ""Uncle Creepy"" Barton",Basic,12.0,02-06-22,26-06-23,Canada,37.0,Male,Laptop,1 Month
243,Emanuel Levy,Standard,11.0,25-05-22,27-06-23,United Kingdom,33.0,Male,Laptop,1 Month
244,Avi Offer,Premium,15.0,26-04-22,26-06-23,Australia,28.0,Male,Smartphone,1 Month
245,Susan Granger,Basic,13.0,20-04-22,26-06-23,Germany,47.0,Male,Smart TV,1 Month
246,Walter Chaw,Premium,11.0,03-05-22,25-06-23,France,38.0,Female,Smartphone,1 Month
247,Sandie Angulo Chen,Basic,12.0,07-07-22,27-06-23,Brazil,27.0,Male,Smart TV,1 Month
248,Mike Ward,Standard,13.0,15-09-22,26-06-23,Mexico,34.0,Male,Smartphone,1 Month
249,Mark Palermo,Standard,14.0,16-09-22,27-06-23,Spain,42.0,Female,Smartphone,1 Month
250,A.O. Scott,Basic,14.0,09-08-22,26-06-23,Italy,28.0,Male,Laptop,1 Month
251,David Denby,Premium,15.0,25-06-22,27-06-23,United States,30.0,Male,Laptop,1 Month
252,Kimberly Gadette,Basic,11.0,30-05-22,26-06-23,Canada,38.0,Female,Smartphone,1 Month
253,Tim Brayton,Standard,15.0,21-05-22,25-06-23,United Kingdom,45.0,Female,Tablet,1 Month
254,Cole Smithey,Premium,12.0,20-05-22,27-06-23,Australia,48.0,Female,Smart TV,1 Month
255,David Hiltbrand,Basic,13.0,20-05-22,26-06-23,Germany,46.0,Female,Smart TV,1 Month
256,Chris Faraone,Premium,12.0,30-05-22,26-06-23,France,34.0,Male,Tablet,1 Month
257,Paul Chambers,Basic,13.0,17-06-22,25-06-23,Brazil,46.0,Male,Laptop,1 Month
258,Brian Gibson,Standard,11.0,16-07-22,28-06-23,Mexico,41.0,Female,Smartphone,1 Month
259,Matt Brunson,Standard,15.0,05-08-22,26-06-23,Spain,28.0,Male,Smartphone,1 Month
260,Dennis Schwartz,Basic,10.0,17-07-22,26-06-23,Italy,27.0,Female,Smartphone,1 Month
261,Betty Jo Tucker,Premium,13.0,04-07-22,25-06-23,United States,27.0,Female,Smart TV,1 Month
262,Jolene Mendez,Basic,12.0,13-07-22,26-06-23,Canada,28.0,Female,Tablet,1 Month
263,Armond White,Standard,15.0,25-07-22,24-06-23,United Kingdom,46.0,Male,Smartphone,1 Month
264,"Michael W. Phillips, Jr.",Premium,10.0,09-08-22,27-06-23,Australia,51.0,Male,Smartphone,1 Month
265,Michelle Orange,Basic,11.0,05-08-22,25-06-23,Germany,32.0,Female,Smart TV,1 Month
266,Bruce Bennett,Premium,10.0,17-08-22,26-06-23,France,44.0,Male,Tablet,1 Month
